,fuken_id,station_name,station_name_kana,station_id
都府県振興局,府県番号,観測所名,カタカナ名,地点コード
宗谷,11,宗谷岬,ソウヤミサキ,1284
宗谷,11,稚内,ワッカナイ,47401
宗谷,11,礼文,レブン,1546
宗谷,11,声問,コエトイ,1528
宗谷,11,浜鬼志別,ハマオニシベツ,1285
宗谷,11,本泊,モトドマリ,1512
宗谷,11,沼川,ヌマカワ,1203
宗谷,11,沓形,クツガタ,2
宗谷,11,豊富,トヨトミ,1054
宗谷,11,浜頓別,ハマトンベツ,3
宗谷,11,中頓別,ナカトンベツ,1051
宗谷,11,北見枝幸,キタミエサシ,47402
宗谷,11,歌登,ウタノボリ,5
宗谷,11,幌延,ホロノベ,1573
上川,12,中川,ナカガワ,1201
上川,12,音威子府,オトイネップ,1197
上川,12,小車,オグルマ,1570
上川,12,美深,ビフカ,6
上川,12,名寄,ナヨロ,8
上川,12,西風連,ニシフウレン,9
上川,12,下川,シモカワ,10
上川,12,剣淵,ケンブチ,1572
上川,12,士別,シベツ,11
上川,12,朝日,アサヒ,1047
上川,12,和寒,ワッサム,1055
上川,12,江丹別,エタンベツ,1191
上川,12,比布,ピップ,1048
上川,12,上川,カミカワ,15
上川,12,旭川,アサヒカワ,47407
上川,12,東川,ヒガシカワ,1184
上川,12,瑞穂,ミズホ,17
上川,12,層雲峡,ソウウンキョウ,1049
上川,12,東神楽,ヒガシカグラ,1458
上川,12,志比内,シビナイ,1185
上川,12,美瑛,ビエイ,1052
上川,12,上富良野,カミフラノ,1190
上川,12,白金,シロガネ,20
上川,12,富良野,フラノ,21
上川,12,麓郷,ロクゴウ,1280
上川,12,金山,カナヤマ,1574
上川,12,幾寅,イクトラ,1188
上川,12,占冠,シムカップ,1189
上川,12,朱鞠内,シュマリナイ,1279
上川,12,幌加内,ホロカナイ,1053
留萌,13,天塩,テシオ,24
留萌,13,遠別,エンベツ,25
留萌,13,初山別,ショサンベツ,1216
留萌,13,焼尻,ヤギシリ,1213
留萌,13,羽幌,ハボロ,47404
留萌,13,古丹別,コタンベツ,1112
留萌,13,達布,タップ,1217
留萌,13,留萌,ルモイ,47406
留萌,13,増毛,マシケ,28
留萌,13,幌糠,ホロヌカ,1218
石狩,14,浜益,ハママス,1193
石狩,14,厚田,アツタ,1194
石狩,14,新篠津,シンシノツ,30
石狩,14,山口,ヤマグチ,31
石狩,14,石狩,イシカリ,1085
石狩,14,江別,エベツ,1507
石狩,14,手稲山,テイネヤマ,32
石狩,14,札幌,サッポロ,47412
石狩,14,小金湯,コガネユ,34
石狩,14,恵庭島松,エニワシママツ,35
石狩,14,支笏湖畔,シコツコハン,37
石狩,14,千歳,チトセ,1459
空知,15,石狩沼田,イシカリヌマタ,38
空知,15,深川,フカガワ,39
空知,15,雨竜,ウリュウ,1567
空知,15,新城,シンジョウ,1419
空知,15,空知吉野,ソラチヨシノ,1287
空知,15,滝川,タキカワ,41
空知,15,赤平,アカビラ,1566
空知,15,芦別,アシベツ,43
空知,15,浦臼,ウラウス,1400
空知,15,月形,ツキガタ,999
空知,15,美唄,ビバイ,44
空知,15,岩見沢,イワミザワ,47413
空知,15,栗沢,クリサワ,1068
空知,15,長沼,ナガヌマ,47
空知,15,夕張,ユウバリ,49
空知,15,鹿島,カシマ,1401
空知,15,沼の沢,ヌマノサワ,1402
後志,16,美国,ビクニ,51
後志,16,神恵内,カモエナイ,1208
後志,16,余市,ヨイチ,52
後志,16,小樽,オタル,47411
後志,16,赤井川,アカイガワ,1091
後志,16,共和,キョウワ,54
後志,16,蘭越,ランコシ,55
後志,16,倶知安,クッチャン,47433
後志,16,寿都,スッツ,47421
後志,16,ニセコ,ニセコ,1615
後志,16,真狩,マッカリ,1072
後志,16,喜茂別,キモベツ,60
後志,16,黒松内,クロマツナイ,61
オホーツク,17,雄武,オウム,47405
オホーツク,17,興部,オコッペ,63
オホーツク,17,西興部,ニシオコッペ,1073
オホーツク,17,紋別,モンベツ,47435
オホーツク,17,紋別小向,モンベツコムカイ,1487
オホーツク,17,湧別,ユウベツ,65
オホーツク,17,滝上,タキノウエ,66
オホーツク,17,上藻別,カミモベツ,67
オホーツク,17,常呂,トコロ,68
オホーツク,17,遠軽,エンガル,69
オホーツク,17,佐呂間,サロマ,70
オホーツク,17,網走,アバシリ,47409
オホーツク,17,宇登呂,ウトロ,981
オホーツク,17,丸瀬布,マルセップ,1420
オホーツク,17,白滝,シラタキ,1092
オホーツク,17,生田原,イクタハラ,72
オホーツク,17,仁頃山,ニコロヤマ,73
オホーツク,17,北見,キタミ,74
オホーツク,17,女満別,メマンベツ,1460
オホーツク,17,東藻琴,ヒガシモコト,1263
オホーツク,17,小清水,コシミズ,75
オホーツク,17,斜里,シャリ,76
オホーツク,17,留辺蘂,ルベシベ,77
オホーツク,17,境野,サカイノ,1209
オホーツク,17,美幌,ビホロ,79
オホーツク,17,山園,ヤマゾノ,1617
オホーツク,17,置戸常元,オケトツネモト,1569
オホーツク,17,津別,ツベツ,82
オホーツク,17,津別二又,ツベツフタマタ,1568
根室,18,羅臼,ラウス,84
根室,18,糸櫛別,イトクシベツ,1266
根室,18,標津,シベツ,85
根室,18,上標津,カミシベツ,1547
根室,18,中標津,ナカシベツ,86
根室,18,根室中標津,ネムロナカシベツ,1489
根室,18,別海,ベツカイ,88
根室,18,根室,ネムロ,47420
根室,18,納沙布,ノサップ,1056
根室,18,厚床,アットコ,1196
釧路,19,川湯,カワユ,90
釧路,19,弟子屈,テシカガ,1187
釧路,19,阿寒湖畔,アカンコハン,91
釧路,19,標茶,シベチャ,93
釧路,19,鶴居,ツルイ,1186
釧路,19,中徹別,ナカテシベツ,95
釧路,19,塘路,トウロ,1403
釧路,19,茶内原野,チャナイゲンヤ,1417
釧路,19,榊町,サカキマチ,1195
釧路,19,阿寒,アカン,96
釧路,19,鶴丘,ツルオカ,1461
釧路,19,太田,オオタ,1192
釧路,19,二俣,フタマタ,1107
釧路,19,白糠,シラヌカ,98
釧路,19,釧路,クシロ,47418
釧路,19,知方学,チッポマナイ,1283
十勝,20,三股,ミツマタ,1571
十勝,20,小利別,ショウトシベツ,1404
十勝,20,陸別,リクベツ,101
十勝,20,ぬかびら源泉郷,ヌカビラゲンセンキョウ,103
十勝,20,柏倉,カシワクラ,1409
十勝,20,上螺湾,カミラワン,1410
十勝,20,上士幌,カミシホロ,107
十勝,20,足寄,アショロ,109
十勝,20,押帯,オショップ,1405
十勝,20,本別,ホンベツ,112
十勝,20,新得,シントク,113
十勝,20,鹿追,シカオイ,114
十勝,20,駒場,コマバ,1204
十勝,20,芽室,メムロ,115
十勝,20,帯広,オビヒロ,47417
十勝,20,帯広,オビヒロ,47417
十勝,20,池田,イケダ,117
十勝,20,留真,ルシン,1418
十勝,20,浦幌,ウラホロ,118
十勝,20,帯広泉,オビヒロイズミ,1510
十勝,20,糠内,ヌカナイ,1286
十勝,20,上札内,カミサツナイ,1210
十勝,20,更別,サラベツ,1211
十勝,20,大津,オオツ,1214
十勝,20,大樹,タイキ,121
十勝,20,広尾,ヒロオ,47440
胆振,21,安平,アビラ,123
胆振,21,厚真,アツマ,124
胆振,21,穂別,ホベツ,125
胆振,21,大滝,オオタキ,1067
胆振,21,森野,モリノ,126
胆振,21,苫小牧,トマコマイ,47424
胆振,21,大岸,オオキシ,128
胆振,21,洞爺湖温泉,トウヤコオンセン,1329
胆振,21,カルルス,カルルス,1429
胆振,21,白老,シラオイ,130
胆振,21,鵡川,ムカワ,131
胆振,21,伊達,ダテ,132
胆振,21,登別,ノボリベツ,134
胆振,21,室蘭,ムロラン,47423
日高,22,日高,ヒダカ,1202
日高,22,仁世宇,ニセウ,1097
日高,22,旭,アサヒ,1430
日高,22,日高門別,ヒダカモンベツ,136
日高,22,新和,シンワ,137
日高,22,笹山,ササヤマ,139
日高,22,静内,シズナイ,140
日高,22,三石,ミツイシ,1198
日高,22,中杵臼,ナカキネウス,1288
日高,22,浦河,ウラカワ,47426
日高,22,目黒,メグロ,1276
日高,22,幌満,ホロマン,1264
日高,22,えりも岬,エリモミサキ,1340
渡島,23,長万部,オシャマンベ,143
渡島,23,八雲,ヤクモ,144
渡島,23,森,モリ,145
渡島,23,大沼,オオヌマ,146
渡島,23,川汲,カックミ,147
渡島,23,北斗,ホクト,148
渡島,23,函館,ハコダテ,47430
渡島,23,高松,タカマツ,1462
渡島,23,戸井泊,トイトマリ,1543
渡島,23,知内,シリウチ,1552
渡島,23,木古内,キコナイ,917
渡島,23,千軒,センゲン,1265
渡島,23,松前,マツマエ,152
渡島,23,熊石,クマイシ,155
檜山,24,せたな,セタナ,153
檜山,24,今金,イマカネ,154
檜山,24,奥尻,オクシリ,1199
檜山,24,米岡,ヨネオカ,1513
檜山,24,潮見,シオミ,156
檜山,24,鶉,ウズラ,1200
檜山,24,江差,エサシ,47428
檜山,24,石崎,イシザキ,1205
青森,31,大間,オオマ,1041
青森,31,湯野川,ユノカワ,1559
青森,31,むつ,ムツ,47576
青森,31,小田野沢,オダノサワ,1122
青森,31,今別,イマベツ,1026
青森,31,脇野沢,ワキノサワ,1124
青森,31,市浦,シウラ,1119
青森,31,蟹田,カニタ,160
青森,31,五所川原,ゴショガワラ,164
青森,31,青森,アオモリ,47575
青森,31,大和山,ヤマトヤマ,1042
青森,31,野辺地,ノヘジ,162
青森,31,六ケ所,ロッカショ,1027
青森,31,鰺ケ沢,アジガサワ,163
青森,31,青森大谷,アオモリオオタニ,1495
青森,31,七戸,シチノヘ,1183
青森,31,深浦,フカウラ,47574
青森,31,岳,ダケ,1108
青森,31,弘前,ヒロサキ,166
青森,31,黒石,クロイシ,167
青森,31,酸ケ湯,スカユ,1079
青森,31,三沢,ミサワ,169
青森,31,大鰐,オオワニ,174
青森,31,温川,ヌルカワ,1406
青森,31,十和田,トワダ,172
青森,31,八戸,ハチノヘ,47581
青森,31,八戸,ハチノヘ,47581
青森,31,碇ケ関,イカリガセキ,175
青森,31,休屋,ヤスミヤ,177
青森,31,戸来,ヘライ,1272
青森,31,三戸,サンノヘ,179
秋田,32,八森,ハチモリ,1043
秋田,32,藤里,フジサト,1273
秋田,32,陣場,ジンバ,181
秋田,32,藤原,フジワラ,1408
秋田,32,能代,ノシロ,183
秋田,32,鷹巣,タカノス,184
秋田,32,大館,オオダテ,912
秋田,32,鹿角,カヅノ,185
秋田,32,脇神,ワキガミ,1463
秋田,32,湯瀬,ユゼ,186
秋田,32,八幡平,ハチマンタイ,1289
秋田,32,男鹿真山,オガシンザン,1422
秋田,32,男鹿,オガ,1036
秋田,32,大潟,オオガタ,1035
秋田,32,五城目,ゴジョウメ,188
秋田,32,阿仁合,アニアイ,1131
秋田,32,比立内,ヒタチナイ,1115
